ano;mes;sigla_uf;tipo_consumo;numero_consumidores;consumo
2005;6;RN;Resid;744892;78759
2005;6;PB;Resid;846343;72169.3
2005;6;AL;Resid;608136;56369.7
2005;6;SE;Resid;482888;46053.9
2005;6;BA;Resid;3219673;278458
2005;6;MG;Resid;5204515;597358
2005;6;ES;Resid;834474;109616
2005;6;RJ;Resid;5380707;826181.4
2005;6;SP;Resid;12011602;2177681.8
2005;6;PR;Resid;2618340;405040.6
2005;6;SC;Resid;1563399;272441
2005;6;RS;Resid;2865053;451355.2
2005;6;MS;Resid;563761;79669.1
2005;6;MT;Resid;620825;107901.8
2005;6;GO;Resid;1600247;204714.3
2005;6;DF;Resid;615948;125144
2005;7;RO;Resid;274353;44037
2005;7;AC;Resid;111536;16402.3
2005;7;AM;Resid;489807;83837.2
2005;7;RR;Resid;69617;13875.2
2005;7;PA;Resid;1146588;148915.9
2005;7;AP;Resid;108841;21306
2005;7;TO;Resid;251733;28287.7
2005;7;MA;Resid;1046469;88764.5
2005;7;PI;Resid;616693;53827
2005;7;CE;Resid;1906609;174386.7
2005;7;RN;Resid;749186;78399.4
2005;7;PB;Resid;849458;71264.5
2005;7;AL;Resid;615590;51406.8
2005;7;SE;Resid;484072;42743.3
2005;7;BA;Resid;3230142;276318.5
2005;7;MG;Resid;5213997;577654.7
2005;7;ES;Resid;837022;110274.9
2005;7;RJ;Resid;5388842;775863
2005;7;SP;Resid;12032336;2162540.6
2005;7;PR;Resid;2619176;388345
2005;7;SC;Resid;1567098;270952.4
2005;7;RS;Resid;2866810;453690.2
2005;7;MS;Resid;564248;72229.7
2005;7;MT;Resid;622462;98970.5
2005;7;GO;Resid;1604813;202618.2
2005;7;DF;Resid;621859;127848
2005;8;RO;Resid;275563;41782
2005;8;AC;Resid;112450;15430.3
2005;8;AM;Resid;490618;85501.7
2005;8;RR;Resid;69893;13537
2005;8;PA;Resid;1151934;155236.6
2005;8;AP;Resid;109418;20811
2005;8;TO;Resid;253044;28534
2005;8;MA;Resid;1049558;98595.2
2005;8;PI;Resid;619515;54216
2005;8;CE;Resid;1914276;180092.3
2005;8;RN;Resid;749186;78399.4
2005;8;PB;Resid;851402;71010.5
2005;8;PE;Resid;2086885;213244.4
2005;8;AL;Resid;629398;59078.9
2005;8;SE;Resid;485507;41899
2005;8;BA;Resid;3240489;274644
2005;8;MG;Resid;5224880;564873.9
2005;8;ES;Resid;840132;108658.4
2005;8;RJ;Resid;5411111;788320.3
2005;8;SP;Resid;12042894;2173290.8
2005;8;PR;Resid;2622551;395000.2
2005;8;SC;Resid;1571684;275466.7
2005;8;RS;Resid;2873443;459287
2005;8;MS;Resid;564361;72865.2
2005;8;MT;Resid;622500;98137
2005;8;GO;Resid;1609165;206878.3
2005;8;DF;Resid;618299;129885
2005;9;RO;Resid;277205;44447
2005;9;AC;Resid;112943;17990.5
2005;9;AM;Resid;492658;92573.7
2005;9;RR;Resid;69971;15014.8
2005;9;PA;Resid;1158405;155232.9
2005;9;AP;Resid;109753;23728.2
2005;9;TO;Resid;254536;32567.8
2005;9;MA;Resid;1050931;95742.1
2005;9;PI;Resid;621760;58193
2005;9;CE;Resid;1921975;175055.6
2005;9;RN;Resid;751530;78757.2
2005;9;PB;Resid;853552;72031.5
